Age,Salary,Gender,Location,Property_Type,RAM,Credit_Score,Churn,Marital_Status,Dependents,Employment_Type,Loan_Amount,Internet_Usage,Fraud_Suspected,Approved_Loan
25,N/A,Male,New York,3BHK,2GB,600,Yes,Widowed,0,,20000,Very High,No,Yes
28,90000,M,Chicago,3BHK,8GB,,Yes,Married,1,Unemployed,20000,,No,Yes
28,60000,Male,Los Angeles,3BHK,8GB,,Yes,Widowed,3,Business,50000,High,No,Yes
28,60000,Female,Chicago,Studio,32GB,300,Yes,Widowed,N/A,Salaried,,Low,No,Yes
,80000,Male,Los Angeles,2BHK,6GB,700,Yes,,3,Business,Unknown,,No,Yes
28,90000,Male,New York,3BHK,32GB,,Yes,Single,N/A,Salaried,10000,Medium,No,Yes
Unknown,90000,,Los Angeles,3BHK,2GB,,Yes,Widowed,0,Self-Employed,,High,No,Yes
Unknown,1500000,M,Los Angeles,Studio,2GB,Excellent,Yes,Divorced,0,Business,150000,,Yes,Yes
Unknown,70000,,New York,3BHK,16GB,700,No,Single,3,Business,Unknown,,No,No
40,60000,Female,Los Angeles,2BHK,2GB,Excellent,Yes,Single,2,,5000,Low,No,No
25,60000,Male,Chicago,3BHK,32GB,Excellent,Yes,Single,N/A,Unemployed,150000,Medium,No,No
45,90000,Other,New York,1BHK,,Poor,Yes,,1,Salaried,,,No,No
40,1500000,Female,New York,Studio,,700,Yes,Widowed,3,Salaried,20000,High,No,
30,60000,Female,Chicago,Studio,6GB,Excellent,Yes,,1,,50000,,No,Yes
,N/A,F,Chicago,Studio,,500,Yes,Widowed,3,,Unknown,Very High,No,
Unknown,70000,Female,Chicago,Studio,,400,Yes,,2,Unemployed,50000,High,No,
30,N/A,Other,Los Angeles,3BHK,2GB,500,Yes,,2,Unemployed,150000,High,No,
,1500000,Other,New York,2BHK,16GB,,Yes,Divorced,2,Business,Unknown,,No,No
Unknown,90000,Male,,2BHK,2GB,800,No,,,Self-Employed,,Low,No,Yes
40,90000,Other,Chicago,Studio,,Excellent,Yes,Married,2,Unemployed,5000,High,No,
40,N/A,Male,,4bhk,,,No,Divorced,0,,10000,Very High,No,No
30,80000,Other,Los Angeles,4bhk,2GB,Poor,Yes,,0,Unemployed,50000,Low,No,No
30,70000,Male,New York,1BHK,,800,Yes,Single,,Salaried,50000,Low,No,Yes
45,90000,Male,Chicago,3BHK,8GB,400,Yes,Married,N/A,Self-Employed,10000,Low,No,Yes
,90000,F,New York,2BHK,16GB,700,Yes,Married,1,Business,50000,High,No,Yes
30,70000,Male,Chicago,3BHK,8GB,300,Yes,Married,3,Salaried,50000,Low,No,Yes
45,60000,Male,Chicago,3BHK,32GB,700,Yes,Divorced,3,Salaried,Unknown,,No,
40,90000,Male,,Studio,6GB,700,Yes,,,Self-Employed,Unknown,Low,No,Yes
,90000,,Los Angeles,3BHK,,Excellent,Yes,,0,Business,10000,Very High,No,No
30,90000,,New York,Studio,,300,Yes,Single,3,,150000,Medium,No,Yes
40,N/A,Male,New York,Studio,16GB,500,Yes,Single,0,Business,5000,Very High,No,
30,N/A,Female,New York,4bhk,8GB,700,No,Married,N/A,Unemployed,,High,No,Yes
28,1500000,Other,Los Angeles,2BHK,8GB,800,Yes,Single,1,Salaried,,Low,No,Yes
40,90000,Male,Los Angeles,3BHK,2GB,Excellent,No,Divorced,N/A,Unemployed,150000,Low,No,Yes
,1500000,F,New York,3BHK,2GB,400,Yes,,,,50000,,Yes,Yes
25,90000,Male,New York,2BHK,8GB,800,Yes,Married,2,Unemployed,5000,Low,No,No
28,70000,Male,New York,1BHK,2GB,700,Yes,Single,2,Business,10000,Very High,No,Yes
25,80000,Male,Los Angeles,1BHK,2GB,,Yes,Divorced,2,Unemployed,150000,High,No,Yes
Unknown,1500000,,,4bhk,8GB,Poor,Yes,Divorced,N/A,,10000,Medium,No,
Unknown,N/A,,Los Angeles,2BHK,2GB,600,No,Single,3,,Unknown,Low,No,Yes
45,60000,Male,Los Angeles,1BHK,2GB,,Yes,,1,,50000,Medium,No,
,60000,Male,Chicago,Studio,8GB,400,Yes,Single,2,Business,20000,Low,No,
28,70000,F,New York,Studio,16GB,,Yes,Married,,,10000,High,No,Yes
40,60000,Male,New York,4bhk,32GB,Poor,Yes,Single,,Salaried,150000,Very High,No,
Unknown,90000,,Chicago,1BHK,,700,Yes,Divorced,2,,50000,High,No,
,60000,F,New York,Studio,8GB,300,Yes,Single,2,Unemployed,5000,Medium,No,Yes
,90000,M,New York,1BHK,4GB,300,Yes,,1,Unemployed,150000,Low,No,
28,70000,,New York,Studio,16GB,,Yes,Widowed,2,Unemployed,Unknown,Medium,No,Yes
,90000,,Chicago,3BHK,16GB,800,No,Single,1,Business,,Very High,No,No
,70000,Female,New York,4bhk,,400,Yes,,,Unemployed,5000,High,No,No
,70000,Other,Los Angeles,2BHK,16GB,Poor,Yes,,2,Business,10000,Medium,No,Yes
Unknown,90000,Male,New York,Studio,,300,Yes,Divorced,N/A,Business,10000,Medium,No,
,N/A,Male,,4bhk,16GB,Poor,Yes,,N/A,,5000,Very High,No,Yes
30,60000,Male,Chicago,2BHK,8GB,,Yes,,,Salaried,10000,Low,No,
35,90000,Male,Los Angeles,3BHK,,Poor,Yes,,1,,150000,Medium,No,Yes
30,,Other,New York,Studio,2GB,700,Yes,,N/A,,50000,Very High,No,No
40,1500000,,New York,3BHK,2GB,700,Yes,Married,1,Business,10000,Low,No,Yes
45,90000,Male,Los Angeles,Studio,,800,Yes,Married,N/A,Business,Unknown,Low,No,Yes
Unknown,70000,Male,New York,2BHK,8GB,Excellent,No,Divorced,N/A,Unemployed,50000,High,No,No
28,N/A,Male,Chicago,Studio,2GB,800,Yes,Single,1,Unemployed,150000,Very High,No,Yes
,90000,M,Los Angeles,2BHK,,500,Yes,,3,,20000,Low,No,
Unknown,90000,Male,New York,Studio,32GB,Poor,Yes,Single,N/A,Self-Employed,10000,High,No,No
30,1500000,,New York,1BHK,16GB,600,Yes,Single,2,Self-Employed,10000,,No,Yes
40,70000,Female,New York,4bhk,,Poor,Yes,Divorced,,Unemployed,Unknown,Very High,No,Yes
30,N/A,Female,New York,4bhk,16GB,400,Yes,,3,Self-Employed,150000,,No,No
35,N/A,Male,Los Angeles,Studio,16GB,,Yes,,1,Unemployed,Unknown,Low,No,Yes
,80000,Other,Chicago,4bhk,8GB,400,Yes,Widowed,3,Business,,Very High,No,Yes
28,70000,Male,New York,3BHK,8GB,Excellent,Yes,Single,0,,150000,High,No,
30,90000,,Los Angeles,3BHK,16GB,Excellent,Yes,Single,0,Salaried,5000,Low,No,No
,90000,Other,Chicago,3BHK,2GB,800,Yes,Married,N/A,,5000,Very High,No,Yes
,1500000,,Chicago,3BHK,32GB,,Yes,Widowed,N/A,Unemployed,5000,Very High,No,
,90000,F,Los Angeles,1BHK,8GB,Poor,Yes,Married,2,Unemployed,Unknown,,No,
30,90000,Other,Los Angeles,4bhk,8GB,Poor,Yes,Married,,,5000,Low,No,
Unknown,60000,Female,New York,3BHK,16GB,500,Yes,Married,3,Unemployed,150000,High,No,Yes
45,N/A,Female,Los Angeles,3BHK,,Poor,Yes,Divorced,0,Self-Employed,5000,High,No,
28,80000,Other,Los Angeles,1BHK,8GB,600,Yes,Divorced,N/A,Self-Employed,20000,Low,No,
40,N/A,,Los Angeles,2BHK,,500,Yes,Married,,Unemployed,5000,Low,No,Yes
35,90000,Female,Los Angeles,Studio,8GB,400,Yes,Widowed,3,Unemployed,10000,Medium,No,No
,50000,Male,Los Angeles,Studio,,Excellent,Yes,Single,N/A,Self-Employed,,,No,
28,60000,,Los Angeles,1BHK,8GB,Poor,Yes,Widowed,N/A,Unemployed,Unknown,Low,Yes,Yes
30,90000,Male,New York,3BHK,,Poor,Yes,,0,Unemployed,50000,Low,No,Yes
30,1500000,Male,Chicago,Studio,8GB,Poor,Yes,Divorced,0,,,Medium,No,
30,,,,3BHK,,,Yes,Single,N/A,Salaried,20000,Medium,No,No
30,80000,Male,Los Angeles,Studio,8GB,Poor,No,Single,1,Self-Employed,Unknown,Very High,No,Yes
30,1500000,M,Chicago,2BHK,8GB,500,Yes,,N/A,,150000,High,No,Yes
40,1500000,Male,New York,3BHK,6GB,,Yes,,,Salaried,Unknown,,No,No
,1500000,Male,Chicago,3BHK,32GB,600,Yes,Married,N/A,Unemployed,10000,Very High,No,Yes
,1500000,Male,New York,4bhk,,300,Yes,Divorced,2,Unemployed,150000,Low,No,Yes
28,1500000,Other,Chicago,3BHK,6GB,Excellent,Yes,Divorced,2,,,Medium,No,Yes
30,70000,Other,Chicago,Studio,,Excellent,Yes,Widowed,2,Unemployed,,High,No,No
30,60000,Other,New York,1BHK,2GB,700,Yes,Married,1,Business,5000,Very High,No,
Unknown,70000,,,1BHK,16GB,700,Yes,Married,1,,150000,High,No,No
30,60000,Female,New York,4bhk,,400,Yes,Married,N/A,Salaried,10000,Medium,No,No
,N/A,Male,New York,4bhk,16GB,,Yes,Married,2,,5000,Very High,No,Yes
,70000,Other,Los Angeles,2BHK,8GB,Excellent,Yes,Divorced,1,Self-Employed,5000,Very High,No,Yes
40,90000,Female,Los Angeles,Studio,,700,Yes,Divorced,0,,Unknown,High,No,Yes
30,90000,Male,Chicago,3BHK,2GB,600,No,Married,N/A,Unemployed,,Medium,No,
28,90000,Male,New York,2BHK,2GB,Excellent,Yes,Widowed,,Unemployed,5000,Low,No,Yes
28,1500000,F,Chicago,3BHK,2GB,,Yes,Single,3,Business,20000,Very High,No,Yes
Unknown,,Male,Chicago,Studio,2GB,,No,Single,N/A,Business,20000,Low,No,Yes
30,70000,F,Los Angeles,Studio,2GB,600,Yes,Widowed,3,Business,,Medium,No,
30,60000,F,Chicago,3BHK,8GB,700,Yes,Married,2,Salaried,20000,Very High,No,Yes
Unknown,60000,Other,New York,Studio,16GB,500,Yes,Divorced,3,Business,Unknown,Very High,No,
,70000,Male,,2BHK,8GB,,Yes,Single,2,Salaried,10000,Low,No,
30,90000,M,Los Angeles,Studio,16GB,400,Yes,,0,Business,50000,,No,No
,80000,Male,Chicago,Studio,4GB,400,Yes,,3,Salaried,5000,Low,No,Yes
30,70000,Male,New York,1BHK,8GB,Excellent,Yes,Widowed,N/A,,50000,Low,No,Yes
30,60000,,Los Angeles,2BHK,2GB,700,Yes,Married,2,,10000,,Yes,Yes
,90000,Male,New York,2BHK,,300,Yes,Single,N/A,Unemployed,10000,Medium,No,Yes
,60000,Female,New York,2BHK,,Poor,Yes,Married,1,Salaried,Unknown,Medium,No,
Unknown,90000,M,Chicago,1BHK,8GB,700,Yes,Single,2,Self-Employed,20000,Very High,No,Yes
,70000,Female,Chicago,3BHK,8GB,400,Yes,Widowed,3,Unemployed,20000,High,No,Yes
25,60000,Other,Los Angeles,Studio,2GB,,Yes,Widowed,2,,10000,High,No,
Unknown,80000,Other,New York,Studio,8GB,500,Yes,,N/A,Salaried,Unknown,Very High,No,No
45,1500000,Male,New York,3BHK,8GB,500,Yes,Married,0,Business,Unknown,High,No,
,60000,Male,Chicago,3BHK,16GB,Excellent,Yes,,2,Self-Employed,,Low,No,Yes
25,60000,Male,New York,1BHK,8GB,700,Yes,Married,3,,150000,Low,No,No
,80000,Male,New York,Studio,8GB,Excellent,Yes,,1,Unemployed,5000,,No,No
Unknown,70000,Male,Chicago,3BHK,2GB,500,Yes,Divorced,,Salaried,150000,,No,Yes
28,70000,Other,New York,3BHK,8GB,,Yes,Divorced,0,Self-Employed,20000,Very High,No,
Unknown,80000,Male,Los Angeles,1BHK,8GB,500,Yes,Divorced,1,Salaried,10000,Very High,No,No
40,70000,Other,Chicago,3BHK,2GB,400,Yes,Divorced,2,Business,,Very High,No,
,60000,Male,New York,2BHK,2GB,,Yes,Single,N/A,Unemployed,50000,Low,No,No
45,90000,Male,Chicago,4bhk,,700,Yes,Divorced,N/A,Salaried,20000,High,No,No
28,60000,,Chicago,3BHK,8GB,300,Yes,Widowed,3,,5000,Very High,No,
28,1500000,F,Chicago,3BHK,8GB,Poor,Yes,Widowed,N/A,Unemployed,Unknown,Very High,No,
28,1500000,M,Los Angeles,3BHK,16GB,Poor,Yes,Single,0,,10000,Low,No,
30,60000,F,Los Angeles,2BHK,2GB,400,Yes,Divorced,N/A,Salaried,20000,Low,Yes,Yes
30,80000,Male,Los Angeles,Studio,32GB,500,Yes,Divorced,3,Unemployed,50000,Low,No,Yes
,70000,Male,New York,Studio,8GB,400,No,Divorced,,,5000,High,No,Yes
40,90000,,Los Angeles,Studio,16GB,700,Yes,,2,Business,5000,Very High,No,No
Unknown,70000,M,Los Angeles,Studio,2GB,500,Yes,Married,2,Business,,Medium,No,Yes
30,90000,,New York,2BHK,,,Yes,,N/A,Salaried,20000,Medium,No,
40,N/A,M,,3BHK,6GB,400,Yes,Married,1,Unemployed,50000,Very High,No,Yes
,N/A,Other,Chicago,Studio,2GB,700,Yes,Divorced,2,Self-Employed,5000,Very High,No,No
28,80000,F,Chicago,4bhk,,,Yes,Divorced,,Unemployed,10000,Very High,No,No
,1500000,Male,Chicago,Studio,16GB,700,Yes,,N/A,Business,5000,Very High,No,Yes
,90000,M,Los Angeles,2BHK,2GB,Poor,Yes,,3,,50000,High,No,
28,90000,F,Los Angeles,4bhk,2GB,300,Yes,Married,,Self-Employed,Unknown,Medium,No,Yes
28,1500000,Other,New York,2BHK,8GB,,Yes,Widowed,N/A,Salaried,Unknown,,No,
30,90000,Female,Chicago,Studio,,Excellent,Yes,Married,,Self-Employed,,Medium,No,Yes
30,60000,M,New York,3BHK,,300,Yes,,2,Salaried,20000,Medium,No,Yes
,1500000,Other,New York,2BHK,2GB,800,Yes,,3,Self-Employed,50000,Low,No,No
,70000,Male,,2BHK,2GB,,Yes,Single,N/A,Salaried,,Very High,No,Yes
Unknown,80000,Male,New York,4bhk,8GB,400,Yes,,0,Salaried,150000,Very High,No,Yes
Unknown,1500000,Male,New York,3BHK,8GB,800,Yes,Single,3,Self-Employed,5000,Very High,No,Yes
25,90000,,Chicago,3BHK,8GB,300,Yes,Widowed,0,Self-Employed,150000,Low,No,Yes
Unknown,N/A,Female,New York,2BHK,8GB,600,Yes,Married,,Salaried,5000,High,No,Yes
,90000,F,New York,1BHK,6GB,800,Yes,Married,1,Business,Unknown,High,Yes,
Unknown,90000,,New York,2BHK,2GB,,Yes,Single,3,Self-Employed,,,No,Yes
30,90000,M,New York,3BHK,,600,No,Married,,Unemployed,Unknown,High,No,
,90000,Male,Los Angeles,3BHK,8GB,600,Yes,,0,,10000,High,No,No
Unknown,60000,Other,Chicago,4bhk,,300,Yes,Divorced,2,Salaried,150000,Very High,No,Yes
,1500000,Male,Los Angeles,Studio,8GB,600,Yes,Single,2,Salaried,150000,Medium,No,Yes
30,60000,Male,New York,3BHK,8GB,800,Yes,Married,1,,Unknown,High,No,
,90000,Male,Chicago,Studio,16GB,700,Yes,Single,3,Business,10000,High,No,
,80000,Male,New York,2BHK,2GB,700,Yes,Single,3,,5000,Low,No,
30,60000,,New York,Studio,16GB,Poor,Yes,Divorced,3,Self-Employed,,,No,Yes
28,80000,F,Los Angeles,2BHK,32GB,400,Yes,,,,10000,Low,No,
28,60000,Male,Los Angeles,3BHK,32GB,,Yes,Single,1,Salaried,,Very High,No,Yes
25,,,New York,3BHK,16GB,,Yes,Married,3,,150000,Medium,No,Yes
45,60000,Other,Chicago,1BHK,2GB,400,Yes,Widowed,,Unemployed,,,No,Yes
40,N/A,Male,Los Angeles,2BHK,8GB,500,Yes,Single,2,Self-Employed,150000,Low,No,
30,,Female,Los Angeles,2BHK,32GB,,Yes,Single,0,,10000,High,No,No
Unknown,70000,Female,Los Angeles,2BHK,16GB,600,Yes,Divorced,,Salaried,150000,High,No,
40,60000,Other,New York,2BHK,8GB,300,Yes,,2,Self-Employed,20000,,No,Yes
,90000,Other,New York,4bhk,,Excellent,Yes,Widowed,2,Salaried,150000,High,No,
40,60000,F,Los Angeles,2BHK,16GB,600,No,Married,0,Business,Unknown,Low,Yes,Yes
,90000,Female,New York,3BHK,2GB,600,Yes,Widowed,2,Unemployed,10000,Low,No,Yes
Unknown,60000,Other,New York,3BHK,8GB,500,Yes,Married,1,Business,5000,High,No,No
,90000,M,,2BHK,2GB,500,Yes,,0,Unemployed,,High,No,No
,1500000,,New York,Studio,32GB,300,Yes,Married,2,,50000,Very High,No,
25,70000,M,Los Angeles,Studio,32GB,,No,Divorced,N/A,Self-Employed,10000,Medium,No,Yes
40,70000,Male,Los Angeles,2BHK,,300,Yes,Divorced,,,Unknown,,No,Yes
45,90000,F,,3BHK,,700,Yes,Divorced,2,Unemployed,150000,Low,No,Yes
Unknown,1500000,,Los Angeles,Studio,2GB,500,Yes,Divorced,1,Unemployed,,,No,Yes
45,80000,Other,New York,3BHK,16GB,300,Yes,Widowed,3,Unemployed,20000,Very High,No,
Unknown,90000,Male,Los Angeles,1BHK,8GB,500,Yes,,2,Salaried,5000,Low,No,Yes
28,90000,Male,Los Angeles,Studio,2GB,400,Yes,Married,3,Self-Employed,20000,Very High,No,No
,80000,Female,New York,2BHK,2GB,800,Yes,Married,N/A,,50000,Very High,No,Yes
Unknown,90000,Male,Chicago,3BHK,,Excellent,No,Divorced,2,,10000,High,No,
40,60000,Other,Chicago,Studio,2GB,Excellent,Yes,Divorced,0,Business,,,No,No
28,80000,Male,Chicago,1BHK,,,Yes,Single,3,Unemployed,10000,,No,
Unknown,N/A,,New York,3BHK,16GB,400,No,,N/A,Unemployed,Unknown,High,No,Yes
30,90000,Other,New York,3BHK,32GB,Poor,Yes,Widowed,0,Unemployed,10000,,No,Yes
30,80000,Male,New York,3BHK,,800,Yes,Married,0,,5000,High,No,
,70000,Male,Los Angeles,3BHK,2GB,Poor,Yes,Single,0,Business,50000,Low,No,
30,N/A,Male,Los Angeles,2BHK,8GB,,Yes,Single,0,Salaried,20000,Very High,No,
Unknown,90000,Female,Los Angeles,2BHK,,,Yes,Married,2,Self-Employed,50000,Very High,No,Yes
45,N/A,Other,New York,1BHK,6GB,,Yes,Widowed,,Salaried,,,No,Yes
28,N/A,F,New York,Studio,32GB,400,Yes,Single,2,,10000,Medium,No,No
30,90000,Male,Chicago,Studio,2GB,300,Yes,Single,2,Unemployed,,Very High,No,
28,70000,Male,Chicago,2BHK,8GB,Poor,Yes,,N/A,Self-Employed,20000,High,No,
Unknown,1500000,M,New York,3BHK,,,Yes,Widowed,N/A,,,Medium,No,No
,90000,Male,New York,3BHK,8GB,Poor,Yes,Single,,,Unknown,Medium,No,No
28,N/A,Other,New York,Studio,2GB,500,Yes,Widowed,N/A,,50000,Very High,No,
30,1500000,Male,Los Angeles,3BHK,,300,Yes,Married,1,Self-Employed,20000,Very High,No,No
Unknown,60000,Female,Los Angeles,3BHK,6GB,500,Yes,Divorced,,Self-Employed,20000,Very High,No,
28,70000,,Los Angeles,Studio,16GB,700,Yes,Single,N/A,Business,150000,High,No,Yes
Unknown,N/A,Male,Los Angeles,4bhk,6GB,Excellent,Yes,,,Business,20000,Medium,No,No
Unknown,70000,F,,3BHK,16GB,,Yes,Married,2,Salaried,150000,,No,Yes
Unknown,1500000,Male,,Studio,2GB,700,Yes,Widowed,2,Self-Employed,5000,High,No,Yes
Unknown,N/A,Female,Los Angeles,3BHK,16GB,700,Yes,Married,,Self-Employed,150000,Low,No,No
Unknown,90000,,Chicago,2BHK,16GB,400,Yes,Single,1,Self-Employed,50000,Very High,No,
,1500000,,Los Angeles,2BHK,32GB,Poor,Yes,Widowed,1,Business,,Medium,No,
,N/A,Other,Chicago,2BHK,4GB,600,Yes,Divorced,,,150000,High,No,Yes
28,80000,Female,New York,1BHK,32GB,,Yes,Married,N/A,Unemployed,20000,Low,No,Yes
40,1500000,Male,,1BHK,8GB,400,Yes,Single,3,Business,50000,High,No,Yes
,80000,Male,Chicago,3BHK,,Excellent,Yes,,1,Self-Employed,150000,High,No,Yes
30,,Male,New York,3BHK,,700,Yes,Widowed,0,Business,150000,,No,Yes
Unknown,80000,Male,New York,Studio,8GB,800,Yes,Married,2,Salaried,20000,,No,
Unknown,60000,Male,Chicago,3BHK,,,Yes,Married,,Self-Employed,Unknown,High,No,Yes
,1500000,,Los Angeles,2BHK,,,Yes,Divorced,0,Salaried,Unknown,Low,No,Yes
45,90000,Male,Los Angeles,3BHK,32GB,600,Yes,Divorced,,Self-Employed,150000,Medium,No,
Unknown,N/A,Other,Los Angeles,4bhk,8GB,400,Yes,,2,Business,Unknown,Medium,No,Yes
28,,Female,Los Angeles,1BHK,,Excellent,Yes,,2,,10000,Very High,No,Yes
30,70000,,Los Angeles,2BHK,,Poor,Yes,Single,1,Unemployed,20000,Very High,No,Yes
,1500000,Male,New York,2BHK,,300,Yes,Single,1,Salaried,10000,Medium,No,
,90000,Female,New York,2BHK,32GB,400,Yes,,0,Business,50000,High,No,Yes
40,50000,Male,Chicago,2BHK,16GB,,Yes,,,,10000,High,No,
,1500000,Female,Los Angeles,4bhk,,Excellent,Yes,Widowed,2,Business,50000,,No,Yes
25,90000,,,4bhk,,400,Yes,Divorced,0,Salaried,150000,,No,
40,70000,Male,New York,1BHK,32GB,300,Yes,Single,3,Unemployed,50000,Very High,No,
Unknown,1500000,,Chicago,Studio,16GB,600,Yes,Divorced,0,Business,50000,Medium,No,
35,90000,Male,Los Angeles,4bhk,16GB,300,Yes,Divorced,N/A,Self-Employed,,High,No,Yes
,70000,Male,Los Angeles,3BHK,,400,Yes,,0,,10000,Medium,No,
Unknown,90000,,Chicago,1BHK,2GB,700,Yes,Widowed,N/A,Business,,Low,No,Yes
25,60000,F,New York,2BHK,2GB,700,Yes,Married,N/A,,150000,Medium,No,Yes
30,,,Chicago,4bhk,,Excellent,Yes,Widowed,N/A,Self-Employed,20000,Low,No,
40,1500000,M,New York,2BHK,,,Yes,Widowed,3,Unemployed,10000,,Yes,No
28,60000,Male,Los Angeles,Studio,32GB,300,Yes,Divorced,0,Unemployed,20000,,No,Yes
25,80000,Male,New York,2BHK,16GB,400,Yes,Widowed,0,Self-Employed,20000,Very High,No,Yes
40,1500000,,New York,3BHK,2GB,600,Yes,Single,3,,50000,Medium,No,Yes
45,80000,Male,New York,4bhk,6GB,,Yes,Divorced,2,Business,10000,Medium,No,No
,90000,Other,Los Angeles,1BHK,32GB,400,Yes,Single,1,Self-Employed,20000,Low,No,Yes
Unknown,60000,Other,Los Angeles,3BHK,8GB,Excellent,Yes,Married,0,Salaried,Unknown,,No,No
,90000,Female,Los Angeles,Studio,,300,Yes,Divorced,1,,20000,Low,No,Yes
,70000,Male,Los Angeles,3BHK,2GB,,Yes,Married,,Unemployed,Unknown,,No,Yes
Unknown,60000,Other,Chicago,Studio,8GB,600,Yes,Divorced,,Self-Employed,10000,Low,No,Yes
45,60000,Other,,Studio,16GB,,Yes,,3,Unemployed,150000,,No,Yes
,50000,Female,Chicago,4bhk,,300,Yes,Widowed,,,,Low,No,Yes
28,90000,Male,,4bhk,8GB,,Yes,,,Unemployed,10000,,No,
Unknown,60000,Male,,4bhk,8GB,,Yes,Married,2,Self-Employed,,Low,No,
45,90000,Female,Los Angeles,Studio,16GB,,Yes,Widowed,2,,,Medium,No,
35,90000,Male,New York,3BHK,,400,Yes,Divorced,2,Salaried,10000,Very High,No,Yes
Unknown,,Male,,3BHK,8GB,,Yes,Widowed,,Self-Employed,20000,Low,No,No
30,80000,Male,New York,2BHK,,800,No,Single,3,Business,5000,Very High,No,
28,N/A,Female,Chicago,4bhk,8GB,600,Yes,Widowed,N/A,Self-Employed,20000,Medium,No,No
,90000,Male,Los Angeles,4bhk,,700,Yes,Single,N/A,,20000,Medium,No,No
25,70000,M,,2BHK,,300,Yes,Widowed,1,Self-Employed,150000,,No,
45,N/A,,,Studio,2GB,,Yes,Single,N/A,Salaried,50000,Very High,No,No
,70000,,New York,Studio,2GB,,Yes,Married,N/A,Salaried,50000,High,No,
30,70000,Other,Los Angeles,1BHK,2GB,400,Yes,,2,Business,20000,,No,
30,70000,,Los Angeles,1BHK,2GB,,Yes,Divorced,2,Unemployed,Unknown,Very High,No,No
28,1500000,Female,Los Angeles,4bhk,,800,Yes,Widowed,,,150000,Low,No,No
,1500000,M,Los Angeles,3BHK,8GB,,Yes,,1,,,Low,No,Yes
,70000,,,2BHK,,600,Yes,Divorced,0,Unemployed,50000,Medium,No,
28,1500000,Male,Chicago,1BHK,32GB,,Yes,Divorced,1,Salaried,20000,High,No,Yes
25,N/A,F,,2BHK,4GB,800,Yes,Single,1,Salaried,150000,Low,No,Yes
40,90000,Male,Chicago,3BHK,2GB,500,Yes,Married,3,Self-Employed,5000,Very High,No,
40,70000,,Chicago,Studio,8GB,Poor,Yes,Married,,Business,Unknown,Very High,No,Yes
Unknown,80000,F,Los Angeles,1BHK,16GB,400,Yes,,3,Business,10000,Low,No,Yes
,1500000,Male,New York,3BHK,,Excellent,Yes,Married,1,Business,20000,Very High,No,
25,1500000,,Los Angeles,Studio,16GB,300,Yes,Widowed,1,Self-Employed,150000,Very High,No,Yes
,70000,,New York,Studio,2GB,600,Yes,Married,1,Business,20000,Medium,No,
28,1500000,Male,New York,Studio,32GB,800,Yes,,N/A,Unemployed,,High,No,Yes
Unknown,70000,Male,New York,3BHK,6GB,Excellent,Yes,Married,3,Self-Employed,Unknown,Medium,No,
45,N/A,,Chicago,Studio,,700,Yes,Widowed,1,Unemployed,50000,High,No,No
28,1500000,M,Los Angeles,3BHK,16GB,500,Yes,Single,2,Self-Employed,50000,Very High,No,Yes
30,80000,Other,New York,1BHK,8GB,,No,,,Business,50000,High,No,
40,60000,Female,Chicago,2BHK,2GB,300,Yes,Single,,Unemployed,10000,Very High,No,
28,1500000,,New York,3BHK,8GB,,Yes,Single,2,Unemployed,150000,Very High,No,
30,N/A,,Chicago,Studio,6GB,700,Yes,Single,,Unemployed,Unknown,Medium,No,
40,1500000,Female,Los Angeles,3BHK,8GB,400,Yes,Divorced,N/A,Self-Employed,Unknown,Medium,No,Yes
25,60000,Female,Los Angeles,4bhk,16GB,400,Yes,Divorced,N/A,,50000,,No,Yes
25,90000,Male,Chicago,3BHK,16GB,700,Yes,Single,0,Business,50000,Low,No,Yes
,80000,Other,Chicago,Studio,16GB,Poor,Yes,,0,Unemployed,,,No,No
Unknown,80000,Other,,4bhk,,500,Yes,Widowed,0,,5000,,No,Yes
45,90000,Other,,3BHK,8GB,,No,Widowed,,Business,5000,High,No,No
Unknown,80000,Male,New York,3BHK,,300,Yes,Married,N/A,Business,20000,Very High,No,No
45,60000,Male,New York,4bhk,2GB,,Yes,,N/A,Unemployed,20000,Very High,No,
30,N/A,,Los Angeles,1BHK,6GB,400,Yes,Divorced,N/A,Unemployed,Unknown,Very High,No,Yes
28,90000,M,Chicago,1BHK,,400,Yes,Single,2,Self-Employed,Unknown,Low,Yes,
30,90000,,New York,3BHK,8GB,300,Yes,Married,N/A,,10000,High,No,No
,1500000,M,Chicago,1BHK,2GB,600,Yes,Widowed,2,,10000,High,No,No
30,90000,Male,New York,3BHK,,700,Yes,Divorced,0,Unemployed,5000,Very High,No,
,70000,M,Chicago,Studio,16GB,Poor,Yes,Divorced,0,Business,20000,,No,Yes
45,70000,,Los Angeles,Studio,8GB,,Yes,Single,,Unemployed,5000,Low,No,Yes
25,,Male,New York,Studio,2GB,700,Yes,Widowed,0,Business,5000,,No,Yes
Unknown,1500000,Female,Los Angeles,3BHK,4GB,500,Yes,,,Business,20000,Medium,No,No
40,N/A,Other,Chicago,Studio,8GB,600,Yes,Divorced,1,Unemployed,150000,High,No,Yes
30,80000,Male,Los Angeles,Studio,32GB,700,Yes,Single,1,Salaried,10000,High,No,
Unknown,1500000,Male,,1BHK,8GB,400,Yes,,3,,,,No,No
,90000,Male,,4bhk,8GB,700,Yes,Widowed,,Business,,Low,No,Yes
